model,subject,lr,max_steps,efficacy_before,efficacy_after,neighbours_before,neighbours_after
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,0.0001,30,95.0,85.0,66.7,66.7
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,0.0001,100,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,0.0001,300,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,3e-05,30,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,3e-05,100,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,3e-05,300,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,5e-06,30,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,5e-06,100,95.0,0.0,66.7,0.0
Qwen/Qwen3-4B-Instruct-2507,Donald Trump,5e-06,300,95.0,0.0,66.7,0.0
